,Latitude,Longitude,quality2,quality1,A2_RSSI,quality2_std,quality1_std,A2_RSSI_std,past_dates,Date,PositionNoLeap,Disruption
0,47.31014554593505,8.115133703259183,0.9998032154593935,0.9914706823454124,1.89,0.005130489715610602,0.004340149393319536,0.07709246123908113,2021-06-21,2021-06-21,322351,False
1,47.31014477075909,8.11513405235203,0.9968488117501991,0.9963059798039348,1.9280555555555559,0.005130489715610602,0.004340149393319536,0.07709246123908113,2021-06-20,2021-06-21,322351,False
2,47.310145832153864,8.115133574363362,0.9984456203150963,0.9943195217436386,1.8433333333333335,0.0009940009108738899,0.00838142202846104,0.10692676621563624,2021-06-19,2021-06-21,322351,False
3,47.3101446872786,8.115134089946643,0.9998139188686267,0.9998140572703608,1.96,0.005130489715610602,0.004340149393319536,0.07709246123908113,2021-06-18,2021-06-21,322351,False
4,47.31014125265282,8.115135636696483,0.9962264788780008,0.9966525793639323,1.99,0.005130489715610602,0.004340149393319536,0.07709246123908113,2021-06-17,2021-06-21,322351,False
5,47.310144901942714,8.115133993274778,0.9875475680685666,0.9985762276209101,1.925,0.009266978520347314,0.0002988767581780319,0.047258156262526024,2021-06-16,2021-06-21,322351,False
6,47.31014640459149,8.115133316571724,0.9992560689115113,0.9970028104793538,1.96,0.005130489715610602,0.004340149393319536,0.07709246123908113,2021-06-15,2021-06-21,322351,False
0,47.309015269410885,8.050809592158796,0.9994701595601456,0.9917004762744752,2.23,0.00028500080047539527,1.3249650934720879e-05,0.12492219800962345,2021-06-21,2021-06-21,102202,True
1,47.309012651085794,8.050808659364858,0.9987732371356909,0.9990847763763205,2.34,0.00028500080047539527,1.3249650934720879e-05,0.12492219800962345,2021-06-20,2021-06-21,102202,True
2,47.30901177831077,8.050808348433545,0.9989575733165166,0.9991455248329517,2.41,4.174097163370505e-05,1.1515998003971792e-05,0.08485281374238578,2021-06-19,2021-06-21,102202,True
3,47.30901352386083,8.050808970296169,0.9985996969836096,0.9651343566270765,2.47,0.00028500080047539527,1.3249650934720879e-05,0.12492219800962345,2021-06-18,2021-06-21,102202,True
4,47.30901483302337,8.05080943669314,0.9962986065853738,0.9967961794757358,2.42,0.0008114458865754456,5.634898735131085e-06,0.07071067811865482,2021-06-17,2021-06-21,102202,True
5,47.3090161421859,8.050809903090109,0.9938104573358736,0.9977574763924141,2.3,0.00028500080047539527,1.3249650934720879e-05,0.12492219800962345,2021-06-16,2021-06-21,102202,True
6,47.30901657857342,8.050810058555765,0.9992893827617105,0.9994443023961708,2.5250000000000004,1.8155432170350646e-06,2.2598056065059753e-05,0.21920310216782976,2021-06-15,2021-06-21,102202,True
0,47.24911190517216,8.184820570181333,0.9959411567420254,0.9951456576226713,2.493333333333333,0.0006586237458141026,0.005995734424406921,0.049497474683058214,2021-06-21,2021-06-21,417540,False
1,47.24911190517216,8.184820570181333,0.9959411567420254,0.9951456576226713,2.493333333333333,0.0006586237458141026,0.005995734424406921,0.049497474683058214,2021-06-20,2021-06-21,417540,False
2,47.24911320876059,8.184820071658327,0.998127366851079,0.9920081171325187,2.4749999999999996,0.0011645952061644206,0.010127216887237462,0.049497474683058214,2021-06-19,2021-06-21,417540,False
3,47.24911190517216,8.184820570181333,0.9959411567420254,0.9951456576226713,2.493333333333333,0.0006586237458141026,0.005995734424406921,0.049497474683058214,2021-06-18,2021-06-21,417540,False
4,47.249110601583716,8.18482106870434,0.9962059851649757,0.9966333302250404,2.5,0.0006586237458141026,0.005995734424406921,0.049497474683058214,2021-06-17,2021-06-21,417540,False
5,47.24911190517216,8.184820570181333,0.9934901182100216,0.9967955255104546,2.505,0.00015265228546378475,0.0018642519615763807,0.049497474683058214,2021-06-16,2021-06-21,417540,False
6,47.24911190517216,8.184820570181333,0.9959411567420254,0.9951456576226713,2.493333333333333,0.0006586237458141026,0.005995734424406921,0.049497474683058214,2021-06-15,2021-06-21,417540,False
0,47.29841834776132,8.12432464413758,0.9980645215627362,0.9913160066306973,2.439375,0.0006001884497528661,0.0005278251015027679,0.08188354079188472,2021-06-21,2021-06-21,337305,False
1,47.29841834776132,8.12432464413758,0.9980645215627362,0.9913160066306973,2.439375,0.0006001884497528661,0.0005278251015027679,0.08188354079188472,2021-06-20,2021-06-21,337305,False
2,47.29841819179501,8.124324737417258,0.9990058686347245,0.9992639195661579,2.44,9.608794371592901e-05,0.00020629489572384738,0.09899494936611643,2021-06-19,2021-06-21,337305,False
3,47.29841819179501,8.12432473741726,0.9986242862923167,0.9705215569814923,2.51,0.0006001884497528661,0.0005278251015027679,0.08188354079188472,2021-06-18,2021-06-21,337305,False
4,47.29841777588484,8.12432498616307,0.996401497030489,0.9968006739266658,2.415,2.792506674929639e-05,1.579869305332486e-05,0.06363961030678918,2021-06-17,2021-06-21,337305,False
5,47.29841834776132,8.12432464413758,0.9980645215627362,0.9913160066306973,2.439375,0.0006001884497528661,0.0005278251015027679,0.08188354079188472,2021-06-16,2021-06-21,337305,False
6,47.29841923157041,8.124324115552731,0.9982264342934145,0.9986778760484732,2.3925,0.001676552338793373,0.0013613817157311313,0.08301606270274853,2021-06-15,2021-06-21,337305,False
0,47.31211349450231,8.051264178900462,0.9966603806815688,0.9889369064872469,2.59,3.904372061420008e-05,0.0006498390697029239,0.0,2021-06-21,2021-06-21,105785,False
1,47.31211349450231,8.051264178900462,0.9966603806815688,0.9889369064872469,2.59,3.904372061420008e-05,0.0006498390697029239,0.0,2021-06-20,2021-06-21,105785,False
2,47.31211238220686,8.051263956441373,0.9989021029517957,0.9991209357069295,2.6,3.904372061420008e-05,0.0006498390697029239,0.0,2021-06-19,2021-06-21,105785,False
3,47.31211238220686,8.051263956441371,0.9985748639411935,0.9647223870799015,2.61,3.904372061420008e-05,0.0006498390697029239,0.0,2021-06-18,2021-06-21,105785,False
4,47.31211772122502,8.051265024245003,0.9963072182470699,0.9967335249963644,2.57,3.904372061420008e-05,0.0006498390697029239,0.0,2021-06-17,2021-06-21,105785,False
5,47.3121114923705,8.0512637784741,0.9928573375862163,0.995170778165792,2.58,3.904372061420008e-05,0.0006498390697029239,0.0,2021-06-16,2021-06-21,105785,False
6,47.31211349450231,8.051264178900462,0.9966603806815688,0.9889369064872469,2.59,3.904372061420008e-05,0.0006498390697029239,0.0,2021-06-15,2021-06-21,105785,False
0,47.25317238976435,8.184087782898144,0.9983974142137565,0.9917979121144117,2.4966666666666666,3.762271174218211e-05,0.0001867376504254115,0.05656854249492354,2021-06-21,2021-06-21,412979,True
1,47.25317238976435,8.184087782898144,0.9983974142137565,0.9917979121144117,2.4966666666666666,3.762271174218211e-05,0.0001867376504254115,0.05656854249492354,2021-06-20,2021-06-21,412979,True
2,47.2531749210316,8.184087403044561,0.9989521824935693,0.9991701864917373,2.51,3.762271174218211e-05,0.0001867376504254115,0.05656854249492354,2021-06-19,2021-06-21,412979,True
3,47.25317358094894,8.184087604143517,0.9969313207834565,0.9792756291443139,2.4699999999999998,3.762271174218211e-05,0.0001867376504254115,0.05656854249492354,2021-06-18,2021-06-21,412979,True
4,47.25317238976435,8.184087782898144,0.9983974142137565,0.9917979121144117,2.4966666666666666,3.762271174218211e-05,0.0001867376504254115,0.05656854249492354,2021-06-17,2021-06-21,412979,True
5,47.25317238976435,8.184087782898144,0.9983974142137565,0.9917979121144117,2.4966666666666666,3.762271174218211e-05,0.0001867376504254115,0.05656854249492354,2021-06-16,2021-06-21,412979,True
6,47.2531686673125,8.184088341506357,0.9993087393642436,0.9969479207071841,2.51,3.762271174218211e-05,0.0001867376504254115,0.05656854249492354,2021-06-15,2021-06-21,412979,True